date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:36:22	35314/35314	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Jan%202024%2013:31:57%20GMT	https://html.kodesolution.com/2023/immigro-html/index-2-dark.html	F:/Yeasib%20Movie/SAS%202/html.kodesolution.com/2023/immigro-html/index-2-dark.html	(from )
14:36:23	710/710	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Jan%202024%2008:36:23%20GMT	https://html.kodesolution.com/robots.txt		(from )
14:36:24	155845/155845	---M-Z	200	added ('OK')	text/css	date:Tue,%2028%20Nov%202023%2009:07:23%20GMT	https://html.kodesolution.com/2023/immigro-html/css/bootstrap.min.css	F:/Yeasib%20Movie/SAS%202/html.kodesolution.com/2023/immigro-html/css/bootstrap.min.css	(from https://html.kodesolution.com/2023/immigro-html/index-2-dark.html)
14:36:25	289633/289633	---M-Z	200	added ('OK')	text/css	date:Tue,%2028%20Nov%202023%2009:07:23%20GMT	https://html.kodesolution.com/2023/immigro-html/css/style.css	F:/Yeasib%20Movie/SAS%202/html.kodesolution.com/2023/immigro-html/css/style.css	(from https://html.kodesolution.com/2023/immigro-html/index-2-dark.html)
14:36:26	9432/9432	---M-Z	200	added ('OK')	text/css	date:Tue,%2028%20Nov%202023%2009:07:23%20GMT	https://html.kodesolution.com/2023/immigro-html/css/style-dark.css	F:/Yeasib%20Movie/SAS%202/html.kodesolution.com/2023/immigro-html/css/style-dark.css	(from https://html.kodesolution.com/2023/immigro-html/index-2-dark.html)
14:36:26	5082/5082	---M--	200	added ('OK')	image/png	date:Tue,%2028%20Nov%202023%2009:07:24%20GMT	https://html.kodesolution.com/2023/immigro-html/images/favicon.png	F:/Yeasib%20Movie/SAS%202/html.kodesolution.com/2023/immigro-html/images/favicon.png	(from https://html.kodesolution.com/2023/immigro-html/index-2-dark.html)
14:36:27	41880/41880	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Jan%202024%2013:31:57%20GMT	https://html.kodesolution.com/2023/immigro-html/index.html	F:/Yeasib%20Movie/SAS%202/html.kodesolution.com/2023/immigro-html/index.html	(from https://html.kodesolution.com/2023/immigro-html/index-2-dark.html)
14:36:28	7790/7790	---M--	200	added ('OK')	image/png	date:Tue,%2028%20Nov%202023%2009:07:24%20GMT	https://html.kodesolution.com/2023/immigro-html/images/logo-3.png	F:/Yeasib%20Movie/SAS%202/html.kodesolution.com/2023/immigro-html/images/logo-3.png	(from https://html.kodesolution.com/2023/immigro-html/index-2-dark.html)
14:36:29	35259/35259	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Jan%202024%2013:31:57%20GMT	https://html.kodesolution.com/2023/immigro-html/index-2.html	F:/Yeasib%20Movie/SAS%202/html.kodesolution.com/2023/immigro-html/index-2.html	(from https://html.kodesolution.com/2023/immigro-html/index-2-dark.html)
14:36:30	33905/33905	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Jan%202024%2013:31:57%20GMT	https://html.kodesolution.com/2023/immigro-html/index-3.html	F:/Yeasib%20Movie/SAS%202/html.kodesolution.com/2023/immigro-html/index-3.html	(from https://html.kodesolution.com/2023/immigro-html/index-2-dark.html)
14:36:30	41965/41965	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Jan%202024%2013:31:57%20GMT	https://html.kodesolution.com/2023/immigro-html/index-1-dark.html	F:/Yeasib%20Movie/SAS%202/html.kodesolution.com/2023/immigro-html/index-1-dark.html	(from https://html.kodesolution.com/2023/immigro-html/index-2-dark.html)
14:36:31	34047/34047	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Jan%202024%2013:31:57%20GMT	https://html.kodesolution.com/2023/immigro-html/index-3-dark.html	F:/Yeasib%20Movie/SAS%202/html.kodesolution.com/2023/immigro-html/index-3-dark.html	(from https://html.kodesolution.com/2023/immigro-html/index-2-dark.html)
14:36:32	41295/41295	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Jan%202024%2013:31:57%20GMT	https://html.kodesolution.com/2023/immigro-html/index-1-boxed.html	F:/Yeasib%20Movie/SAS%202/html.kodesolution.com/2023/immigro-html/index-1-boxed.html	(from https://html.kodesolution.com/2023/immigro-html/index-2-dark.html)
14:36:33	34647/34647	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Jan%202024%2013:31:57%20GMT	https://html.kodesolution.com/2023/immigro-html/index-2-boxed.html	F:/Yeasib%20Movie/SAS%202/html.kodesolution.com/2023/immigro-html/index-2-boxed.html	(from https://html.kodesolution.com/2023/immigro-html/index-2-dark.html)
14:36:34	33662/33662	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Jan%202024%2013:31:57%20GMT	https://html.kodesolution.com/2023/immigro-html/index-3-boxed.html	F:/Yeasib%20Movie/SAS%202/html.kodesolution.com/2023/immigro-html/index-3-boxed.html	(from https://html.kodesolution.com/2023/immigro-html/index-2-dark.html)
14:36:34	1224/1224	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Jan%202024%2008:36:34%20GMT	https://html.kodesolution.com/2023/immigro-html/index-1-Single.html	F:/Yeasib%20Movie/SAS%202/html.kodesolution.com/2023/immigro-html/index-1-Single.html	(from https://html.kodesolution.com/2023/immigro-html/index-2-dark.html)
14:36:35	1224/1224	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Jan%202024%2008:36:35%20GMT	https://html.kodesolution.com/2023/immigro-html/index-2-Single.html	F:/Yeasib%20Movie/SAS%202/html.kodesolution.com/2023/immigro-html/index-2-Single.html	(from https://html.kodesolution.com/2023/immigro-html/index-2-dark.html)
14:36:36	1224/1224	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Jan%202024%2008:36:36%20GMT	https://html.kodesolution.com/2023/immigro-html/index-3-Single.html	F:/Yeasib%20Movie/SAS%202/html.kodesolution.com/2023/immigro-html/index-3-Single.html	(from https://html.kodesolution.com/2023/immigro-html/index-2-dark.html)
14:36:37	44440/44440	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Nov%202023%2009:07:24%20GMT	https://html.kodesolution.com/2023/immigro-html/index-1-rtl.html	F:/Yeasib%20Movie/SAS%202/html.kodesolution.com/2023/immigro-html/index-1-rtl.html	(from https://html.kodesolution.com/2023/immigro-html/index-2-dark.html)
14:36:37	23276/23276	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Jan%202024%2013:31:57%20GMT	https://html.kodesolution.com/2023/immigro-html/page-about.html	F:/Yeasib%20Movie/SAS%202/html.kodesolution.com/2023/immigro-html/page-about.html	(from https://html.kodesolution.com/2023/immigro-html/index-2-dark.html)
14:36:38	14544/14544	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Jan%202024%2013:31:57%20GMT	https://html.kodesolution.com/2023/immigro-html/page-country.html	F:/Yeasib%20Movie/SAS%202/html.kodesolution.com/2023/immigro-html/page-country.html	(from https://html.kodesolution.com/2023/immigro-html/index-2-dark.html)
14:36:39	14901/14901	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Jan%202024%2013:31:57%20GMT	https://html.kodesolution.com/2023/immigro-html/page-country-details.html	F:/Yeasib%20Movie/SAS%202/html.kodesolution.com/2023/immigro-html/page-country-details.html	(from https://html.kodesolution.com/2023/immigro-html/index-2-dark.html)
14:36:40	14223/14223	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Jan%202024%2013:31:57%20GMT	https://html.kodesolution.com/2023/immigro-html/page-team.html	F:/Yeasib%20Movie/SAS%202/html.kodesolution.com/2023/immigro-html/page-team.html	(from https://html.kodesolution.com/2023/immigro-html/index-2-dark.html)
14:36:41	17491/17491	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Jan%202024%2013:31:57%20GMT	https://html.kodesolution.com/2023/immigro-html/page-team-details.html	F:/Yeasib%20Movie/SAS%202/html.kodesolution.com/2023/immigro-html/page-team-details.html	(from https://html.kodesolution.com/2023/immigro-html/index-2-dark.html)
14:36:41	14667/14667	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Jan%202024%2013:31:57%20GMT	https://html.kodesolution.com/2023/immigro-html/page-testimonial.html	F:/Yeasib%20Movie/SAS%202/html.kodesolution.com/2023/immigro-html/page-testimonial.html	(from https://html.kodesolution.com/2023/immigro-html/index-2-dark.html)
14:36:42	19003/19003	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Jan%202024%2013:31:57%20GMT	https://html.kodesolution.com/2023/immigro-html/shop-products.html	F:/Yeasib%20Movie/SAS%202/html.kodesolution.com/2023/immigro-html/shop-products.html	(from https://html.kodesolution.com/2023/immigro-html/index-2-dark.html)
14:36:42	21320/21320	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Jan%202024%2013:31:57%20GMT	https://html.kodesolution.com/2023/immigro-html/shop-products-sidebar.html	F:/Yeasib%20Movie/SAS%202/html.kodesolution.com/2023/immigro-html/shop-products-sidebar.html	(from https://html.kodesolution.com/2023/immigro-html/index-2-dark.html)
14:36:43	25381/25381	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Jan%202024%2013:31:57%20GMT	https://html.kodesolution.com/2023/immigro-html/shop-product-details.html	F:/Yeasib%20Movie/SAS%202/html.kodesolution.com/2023/immigro-html/shop-product-details.html	(from https://html.kodesolution.com/2023/immigro-html/index-2-dark.html)
14:36:44	17012/17012	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Jan%202024%2013:31:57%20GMT	https://html.kodesolution.com/2023/immigro-html/shop-cart.html	F:/Yeasib%20Movie/SAS%202/html.kodesolution.com/2023/immigro-html/shop-cart.html	(from https://html.kodesolution.com/2023/immigro-html/index-2-dark.html)
14:36:45	18687/18687	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Jan%202024%2013:31:57%20GMT	https://html.kodesolution.com/2023/immigro-html/shop-checkout.html	F:/Yeasib%20Movie/SAS%202/html.kodesolution.com/2023/immigro-html/shop-checkout.html	(from https://html.kodesolution.com/2023/immigro-html/index-2-dark.html)
14:36:45	1224/1224	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Jan%202024%2008:36:45%20GMT	https://html.kodesolution.com/2023/immigro-html/page-FAQ.html	F:/Yeasib%20Movie/SAS%202/html.kodesolution.com/2023/immigro-html/page-FAQ.html	(from https://html.kodesolution.com/2023/immigro-html/index-2-dark.html)
14:36:46	2031/2031	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Nov%202023%2009:07:24%20GMT	https://html.kodesolution.com/2023/immigro-html/page-404.html	F:/Yeasib%20Movie/SAS%202/html.kodesolution.com/2023/immigro-html/page-404.html	(from https://html.kodesolution.com/2023/immigro-html/index-2-dark.html)
14:36:47	16208/16208	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Jan%202024%2013:31:57%20GMT	https://html.kodesolution.com/2023/immigro-html/page-service.html	F:/Yeasib%20Movie/SAS%202/html.kodesolution.com/2023/immigro-html/page-service.html	(from https://html.kodesolution.com/2023/immigro-html/index-2-dark.html)
14:36:47	17707/17707	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Jan%202024%2013:31:57%20GMT	https://html.kodesolution.com/2023/immigro-html/page-service-details.html	F:/Yeasib%20Movie/SAS%202/html.kodesolution.com/2023/immigro-html/page-service-details.html	(from https://html.kodesolution.com/2023/immigro-html/index-2-dark.html)
14:36:48	16636/16636	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Jan%202024%2013:31:57%20GMT	https://html.kodesolution.com/2023/immigro-html/page-course.html	F:/Yeasib%20Movie/SAS%202/html.kodesolution.com/2023/immigro-html/page-course.html	(from https://html.kodesolution.com/2023/immigro-html/index-2-dark.html)
14:36:49	18326/18326	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Jan%202024%2013:31:57%20GMT	https://html.kodesolution.com/2023/immigro-html/page-course-details.html	F:/Yeasib%20Movie/SAS%202/html.kodesolution.com/2023/immigro-html/page-course-details.html	(from https://html.kodesolution.com/2023/immigro-html/index-2-dark.html)
14:36:50	14445/14445	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Jan%202024%2013:31:57%20GMT	https://html.kodesolution.com/2023/immigro-html/news-grid.html	F:/Yeasib%20Movie/SAS%202/html.kodesolution.com/2023/immigro-html/news-grid.html	(from https://html.kodesolution.com/2023/immigro-html/index-2-dark.html)
14:36:50	21336/21336	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Jan%202024%2013:31:57%20GMT	https://html.kodesolution.com/2023/immigro-html/news-details.html	F:/Yeasib%20Movie/SAS%202/html.kodesolution.com/2023/immigro-html/news-details.html	(from https://html.kodesolution.com/2023/immigro-html/index-2-dark.html)
14:36:51	16322/16322	---MCZ	200	added ('OK')	text/html	date:Mon,%2029%20Jan%202024%2004:35:25%20GMT	https://html.kodesolution.com/2023/immigro-html/page-contact.html	F:/Yeasib%20Movie/SAS%202/html.kodesolution.com/2023/immigro-html/page-contact.html	(from https://html.kodesolution.com/2023/immigro-html/index-2-dark.html)
14:36:52	1887/1887	---M--	200	added ('OK')	image/png	date:Tue,%2028%20Nov%202023%2009:07:24%20GMT	https://html.kodesolution.com/2023/immigro-html/images/icons/icon-phone.png	F:/Yeasib%20Movie/SAS%202/html.kodesolution.com/2023/immigro-html/images/icons/icon-phone.png	(from https://html.kodesolution.com/2023/immigro-html/index-2-dark.html)
14:36:53	7069/7069	---M--	200	added ('OK')	image/png	date:Tue,%2028%20Nov%202023%2009:07:24%20GMT	https://html.kodesolution.com/2023/immigro-html/images/logo.png	F:/Yeasib%20Movie/SAS%202/html.kodesolution.com/2023/immigro-html/images/logo.png	(from https://html.kodesolution.com/2023/immigro-html/index-2-dark.html)
